Date/Time	Counts	Val 1	Val 2
27.02.2023 12:20:50	4	3.9 cps	234.0 cpm
27.02.2023 12:20:51	4	4.0 cps	240.0 cpm
27.02.2023 12:20:52	2	3.8 cps	228.0 cpm
27.02.2023 12:20:53	7	4.3 cps	258.0 cpm
27.02.2023 12:20:54	3	4.3 cps	258.0 cpm
27.02.2023 12:20:55	7	4.4 cps	264.0 cpm
27.02.2023 12:20:56	4	4.1 cps	246.0 cpm
27.02.2023 12:20:57	2	4.3 cps	258.0 cpm
27.02.2023 12:20:58	6	4.8 cps	288.0 cpm
27.02.2023 12:20:59	8	4.7 cps	282.0 cpm
27.02.2023 12:21:00	1	4.4 cps	264.0 cpm
27.02.2023 12:21:01	2	4.2 cps	252.0 cpm
27.02.2023 12:21:02	2	4.2 cps	252.0 cpm
27.02.2023 12:21:03	3	3.8 cps	228.0 cpm
27.02.2023 12:21:04	5	4.0 cps	240.0 cpm
27.02.2023 12:21:05	2	3.5 cps	210.0 cpm
27.02.2023 12:21:06	4	3.5 cps	210.0 cpm
27.02.2023 12:21:07	5	3.8 cps	228.0 cpm
27.02.2023 12:21:08	4	3.6 cps	216.0 cpm
27.02.2023 12:21:09	6	3.4 cps	204.0 cpm
27.02.2023 12:21:10	3	3.6 cps	216.0 cpm
27.02.2023 12:21:11	5	3.9 cps	234.0 cpm
27.02.2023 12:21:12	2	3.9 cps	234.0 cpm
27.02.2023 12:21:13	5	4.1 cps	246.0 cpm
27.02.2023 12:21:14	2	3.8 cps	228.0 cpm
27.02.2023 12:21:15	6	4.2 cps	252.0 cpm
27.02.2023 12:21:16	4	4.2 cps	252.0 cpm
27.02.2023 12:21:17	6	4.3 cps	258.0 cpm
27.02.2023 12:21:18	2	4.1 cps	246.0 cpm
27.02.2023 12:21:19	3	3.8 cps	228.0 cpm
27.02.2023 12:21:20	6	4.1 cps	246.0 cpm
27.02.2023 12:21:21	7	4.3 cps	258.0 cpm
27.02.2023 12:21:22	9	5.0 cps	300.0 cpm
27.02.2023 12:21:23	6	5.1 cps	306.0 cpm
27.02.2023 12:21:24	3	5.2 cps	312.0 cpm
27.02.2023 12:21:25	1	4.7 cps	282.0 cpm
27.02.2023 12:21:26	3	4.6 cps	276.0 cpm
27.02.2023 12:21:27	4	4.4 cps	264.0 cpm
27.02.2023 12:21:28	5	4.7 cps	282.0 cpm
27.02.2023 12:21:29	3	4.7 cps	282.0 cpm
27.02.2023 12:21:30	4	4.5 cps	270.0 cpm
27.02.2023 12:21:31	1	3.9 cps	234.0 cpm
27.02.2023 12:21:32	6	3.6 cps	216.0 cpm
27.02.2023 12:21:33	1	3.1 cps	186.0 cpm
27.02.2023 12:21:34	5	3.3 cps	198.0 cpm
27.02.2023 12:21:35	4	3.6 cps	216.0 cpm
27.02.2023 12:21:36	4	3.7 cps	222.0 cpm
27.02.2023 12:21:37	5	3.8 cps	228.0 cpm
27.02.2023 12:21:38	4	3.7 cps	222.0 cpm
27.02.2023 12:21:39	6	4.0 cps	240.0 cpm
27.02.2023 12:21:40	4	4.0 cps	240.0 cpm
27.02.2023 12:21:41	7	4.6 cps	276.0 cpm
27.02.2023 12:21:42	4	4.4 cps	264.0 cpm
27.02.2023 12:21:43	2	4.5 cps	270.0 cpm
27.02.2023 12:21:44	5	4.5 cps	270.0 cpm
27.02.2023 12:21:45	5	4.6 cps	276.0 cpm
27.02.2023 12:21:46	4	4.6 cps	276.0 cpm
27.02.2023 12:21:47	3	4.4 cps	264.0 cpm
27.02.2023 12:21:48	2	4.2 cps	252.0 cpm
27.02.2023 12:21:49	3	3.9 cps	234.0 cpm
27.02.2023 12:21:50	0	3.5 cps	210.0 cpm
27.02.2023 12:21:51	4	3.2 cps	192.0 cpm
27.02.2023 12:21:52	5	3.3 cps	198.0 cpm
27.02.2023 12:21:53	3	3.4 cps	204.0 cpm
27.02.2023 12:21:54	1	3.0 cps	180.0 cpm
27.02.2023 12:21:55	0	2.5 cps	150.0 cpm
